Date ,Quad
6/30/1948,2
9/30/1948,1
12/31/1948,4
3/31/1949,4
6/30/1949,4
9/30/1949,1
12/30/1949,3
3/31/1950,2
6/30/1950,2
9/29/1950,2
12/29/1950,2
3/30/1951,3
6/29/1951,3
9/28/1951,4
12/31/1951,4
3/31/1952,4
6/30/1952,4
9/30/1952,3
12/31/1952,1
3/31/1953,1
6/30/1953,2
9/30/1953,4
12/31/1953,3
3/31/1954,3
6/30/1954,4
9/30/1954,1
12/31/1954,1
3/31/1955,1
6/30/1955,2
9/30/1955,2
12/30/1955,3
3/30/1956,4
6/29/1956,3
9/28/1956,3
12/31/1956,2
3/29/1957,2
6/28/1957,3
9/30/1957,1
12/31/1957,4
3/31/1958,3
6/30/1958,1
9/30/1958,1
12/31/1958,1
3/31/1959,1
6/30/1959,1
9/30/1959,3
12/31/1959,3
3/31/1960,1
6/30/1960,3
9/30/1960,1
12/30/1960,3
3/31/1961,3
6/30/1961,1
9/29/1961,2
12/29/1961,1
3/30/1962,2
6/29/1962,3
9/28/1962,4
12/31/1962,3
3/29/1963,4
6/28/1963,1
9/30/1963,2
12/31/1963,2
3/31/1964,2
6/30/1964,4
9/30/1964,4
12/31/1964,3
3/31/1965,1
6/30/1965,2
9/30/1965,2
12/31/1965,2
3/31/1966,2
6/30/1966,3
9/30/1966,3
12/30/1966,3
3/31/1967,4
6/30/1967,4
9/29/1967,2
12/29/1967,3
3/29/1968,2
6/28/1968,2
9/30/1968,3
12/31/1968,3
3/31/1969,3
6/30/1969,3
9/30/1969,3
12/31/1969,3
3/31/1970,3
6/30/1970,4
9/30/1970,1
12/31/1970,4
3/31/1971,1
6/30/1971,1
9/30/1971,4
12/31/1971,1
3/31/1972,4
6/30/1972,1
9/29/1972,1
12/29/1972,2
3/30/1973,2
6/29/1973,3
9/28/1973,3
12/31/1973,3
3/29/1974,3
6/28/1974,3
9/30/1974,3
12/31/1974,3
3/31/1975,4
6/30/1975,1
9/30/1975,1
12/31/1975,1
3/31/1976,1
6/30/1976,1
9/30/1976,4
12/31/1976,4
3/31/1977,3
6/30/1977,2
9/30/1977,1
12/30/1977,3
3/31/1978,4
6/30/1978,2
9/29/1978,3
12/29/1978,2
3/30/1979,3
6/29/1979,3
9/28/1979,3
12/31/1979,3
3/31/1980,2
6/30/1980,3
9/30/1980,4
12/31/1980,1
3/31/1981,1
6/30/1981,1
9/30/1981,2
12/31/1981,4
3/31/1982,4
6/30/1982,1
9/30/1982,4
12/31/1982,1
3/31/1983,1
6/30/1983,1
9/30/1983,1
12/30/1983,2
3/30/1984,2
6/29/1984,4
9/28/1984,4
12/31/1984,4
3/29/1985,4
6/28/1985,4
9/30/1985,1
12/31/1985,3
3/31/1986,4
6/30/1986,4
9/30/1986,4
12/31/1986,4
3/31/1987,3
6/30/1987,2
9/30/1987,3
12/31/1987,2
3/31/1988,4
6/30/1988,2
9/30/1988,3
12/30/1988,3
3/31/1989,2
6/30/1989,3
9/29/1989,1
12/29/1989,4
3/30/1990,2
6/29/1990,4
9/28/1990,3
12/31/1990,3
3/29/1991,4
6/28/1991,1
9/30/1991,1
12/31/1991,1
3/31/1992,1
6/30/1992,2
9/30/1992,2
12/31/1992,2
3/31/1993,3
6/30/1993,4
9/30/1993,4
12/31/1993,1
3/31/1994,1
6/30/1994,1
9/30/1994,2
12/30/1994,4
3/31/1995,3
6/30/1995,3
9/29/1995,1
12/29/1995,4
3/29/1996,2
6/28/1996,2
9/30/1996,2
12/31/1996,2
3/31/1997,4
6/30/1997,4
9/30/1997,1
12/31/1997,4
3/31/1998,1
6/30/1998,3
9/30/1998,2
12/31/1998,1
3/31/1999,3
6/30/1999,3
9/30/1999,2
12/31/1999,2
3/31/2000,3
6/30/2000,2
9/29/2000,3
12/29/2000,4
3/30/2001,4
6/29/2001,4
9/28/2001,4
12/31/2001,4
3/29/2002,1
6/28/2002,2
9/30/2002,2
12/31/2002,3
3/31/2003,3
6/30/2003,1
9/30/2003,2
12/31/2003,1
3/31/2004,4
6/30/2004,3
9/30/2004,4
12/31/2004,3
3/31/2005,1
6/30/2005,4
9/30/2005,3
12/30/2005,4
3/31/2006,2
6/30/2006,3
9/29/2006,4
12/29/2006,1
3/30/2007,3
6/29/2007,2
9/28/2007,1
12/31/2007,3
3/31/2008,3
6/30/2008,3
9/30/2008,3
12/31/2008,4
3/31/2009,4
6/30/2009,4
9/30/2009,1
12/31/2009,2
3/31/2010,2
6/30/2010,1
9/30/2010,1
12/31/2010,3
3/31/2011,3
6/30/2011,3
9/30/2011,3
12/30/2011,1
3/30/2012,1
6/29/2012,4
9/28/2012,1
12/31/2012,3
3/29/2013,1
6/28/2013,4
9/30/2013,2
12/31/2013,1
3/31/2014,3
6/30/2014,2
9/30/2014,1
12/31/2014,4
3/31/2015,1
6/30/2015,3
9/30/2015,3
12/31/2015,3
3/31/2016,3
6/30/2016,3
9/30/2016,2
12/30/2016,2
3/31/2017,3
6/30/2017,1
9/29/2017,2
12/29/2017,2
3/30/2018,2
6/29/2018,2
9/28/2018,4
12/31/2018,4
3/29/2019,4
6/28/2019,4
9/30/2019,3
12/31/2019,2
3/31/2020,4
6/30/2020,4
9/30/2020,2
12/31/2020,1
3/31/2021,2
6/30/2021,2
